PlayerID,PlayerName,PlayerRating,PlayerPOS,PAC,SHO,PAS,DRI,DEF,PHY,PlayerIMG,ClubIMG,CountryIMG
20,Toni Kroos,88,CM,54,81,91,81,71,69,https://futhead.cursecdn.com/static/img/21/players/182521.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
21,Joshua Kimmich,88,CDM,71,72,86,84,81,79,https://futhead.cursecdn.com/static/img/21/players/212622.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
22,Giorgio Chiellini,87,CB,66,46,58,62,90,79,https://futhead.cursecdn.com/static/img/21/players/138956.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/27.png
23,Sergio Busquets,87,CDM,42,62,80,81,83,77,https://futhead.cursecdn.com/static/img/21/players/189511.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
24,Fabinho,87,CDM,67,69,79,77,85,83,https://futhead.cursecdn.com/static/img/21/players/209499.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
25,Andrew Robertson,87,LB,83,62,80,80,81,76,https://futhead.cursecdn.com/static/img/21/players/216267.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/42.png
26,Bernardo Silva,87,RW,81,77,83,92,51,67,https://futhead.cursecdn.com/static/img/21/players/218667.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
27,Roberto Firmino,87,CF,77,80,81,90,61,78,https://futhead.cursecdn.com/static/img/21/players/201942.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
28,Aymeric Laporte,87,CB,63,50,72,69,88,81,https://futhead.cursecdn.com/static/img/21/players/212218.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
29,Antoine Griezmann,87,ST,79,85,84,88,57,72,https://futhead.cursecdn.com/static/img/21/players/194765.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
30,Trent Alexander-Arnold,87,RB,80,66,87,80,80,71,https://futhead.cursecdn.com/static/img/21/players/231281.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
31,Luis Suárez,87,ST,70,90,82,83,51,83,https://futhead.cursecdn.com/static/img/21/players/176580.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/60.png
32,Heung Min Son,87,LM,88,86,80,87,43,69,https://futhead.cursecdn.com/static/img/21/players/200104.png,https://futhead.cursecdn.com/static/img/21/clubs/18.png,https://futhead.cursecdn.com/static/img/21/nations/167.png
33,Jadon Sancho,87,RM,83,74,81,91,37,64,https://futhead.cursecdn.com/static/img/21/players/233049.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
34,Ángel Di María,87,RW,83,81,85,87,48,68,https://futhead.cursecdn.com/static/img/21/players/183898.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
35,Bruno Fernandes,87,CAM,77,83,88,85,68,75,https://futhead.cursecdn.com/static/img/21/players/212198.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
36,Pierre-Emerick Aubame...,87,ST,93,86,75,81,38,69,https://futhead.cursecdn.com/static/img/21/players/188567.png,https://futhead.cursecdn.com/static/img/21/clubs/1.png,https://futhead.cursecdn.com/static/img/21/nations/115.png
37,Ciro Immobile,87,ST,84,88,67,83,39,77,https://futhead.cursecdn.com/static/img/21/players/192387.png,https://futhead.cursecdn.com/static/img/21/clubs/46.png,https://futhead.cursecdn.com/static/img/21/nations/27.png
38,Luka Modrić,87,CM,73,76,89,88,71,66,https://futhead.cursecdn.com/static/img/21/players/177003.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/10.png
39,Alejandro Gómez,86,CAM,90,79,84,88,39,55,https://futhead.cursecdn.com/static/img/21/players/143076.png,https://futhead.cursecdn.com/static/img/21/clubs/481.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
40,Jordi Alba,86,LB,88,69,81,83,78,72,https://futhead.cursecdn.com/static/img/21/players/189332.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
41,Raphaël Varane,86,CB,82,49,64,65,87,82,https://futhead.cursecdn.com/static/img/21/players/201535.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
42,David Silva,86,CAM,64,74,88,88,52,55,https://futhead.cursecdn.com/static/img/21/players/168542.png,https://futhead.cursecdn.com/static/img/21/clubs/457.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
43,Mats Hummels,86,CB,58,58,77,73,89,77,https://futhead.cursecdn.com/static/img/21/players/178603.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
44,Carvajal,86,RB,80,54,78,81,82,80,https://futhead.cursecdn.com/static/img/21/players/204963.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
45,Jordan Henderson,86,CDM,65,74,84,79,81,82,https://futhead.cursecdn.com/static/img/21/players/183711.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
46,Alejandro Gómez,86,CAM,90,79,84,88,39,55,https://futhead.cursecdn.com/static/img/21/players/143076.png,https://futhead.cursecdn.com/static/img/21/clubs/39.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
47,Piqué,86,CB,57,61,71,69,86,80,https://futhead.cursecdn.com/static/img/21/players/152729.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
48,Marco Verratti,86,CM,64,60,85,90,79,67,https://futhead.cursecdn.com/static/img/21/players/199556.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/27.png
49,Paul Pogba,86,CM,73,81,86,85,66,85,https://futhead.cursecdn.com/static/img/21/players/195864.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
50,Jamie Vardy,86,ST,88,85,66,79,55,75,https://futhead.cursecdn.com/static/img/21/players/208830.png,https://futhead.cursecdn.com/static/img/21/clubs/95.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
51,Thomas Müller,86,CAM,68,82,82,78,56,71,https://futhead.cursecdn.com/static/img/21/players/189596.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
52,Thiago,85,CM,64,72,85,90,70,62,https://futhead.cursecdn.com/static/img/21/players/189509.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
53,Christian Eriksen,85,CAM,72,81,88,82,53,63,https://futhead.cursecdn.com/static/img/21/players/190460.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/13.png
54,Alex Sandro,85,LB,81,65,77,80,81,81,https://futhead.cursecdn.com/static/img/21/players/191043.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
55,Kyle Walker,85,RB,92,63,76,77,80,82,https://futhead.cursecdn.com/static/img/21/players/188377.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
56,Mauro Icardi,85,ST,73,85,65,78,36,68,https://futhead.cursecdn.com/static/img/21/players/201399.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
57,Diego Godín,85,CB,57,48,64,62,87,79,https://futhead.cursecdn.com/static/img/21/players/182493.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/60.png
58,Toby Alderweireld,85,CB,63,55,72,68,87,79,https://futhead.cursecdn.com/static/img/21/players/184087.png,https://futhead.cursecdn.com/static/img/21/clubs/18.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
59,Rodri,85,CDM,65,68,77,77,82,80,https://futhead.cursecdn.com/static/img/21/players/231866.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
60,Frenkie de Jong,85,CM,80,64,84,87,76,77,https://futhead.cursecdn.com/static/img/21/players/228702.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
61,Leonardo Bonucci,85,CB,60,58,69,71,87,77,https://futhead.cursecdn.com/static/img/21/players/184344.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/27.png
62,Clément Lenglet,85,CB,74,45,67,66,87,81,https://futhead.cursecdn.com/static/img/21/players/220440.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
63,Dries Mertens,85,CF,86,82,80,89,35,51,https://futhead.cursecdn.com/static/img/21/players/175943.png,https://futhead.cursecdn.com/static/img/21/clubs/48.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
64,Koke,85,CM,67,75,85,81,76,80,https://futhead.cursecdn.com/static/img/21/players/193747.png,https://futhead.cursecdn.com/static/img/21/clubs/240.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
65,Milan Škriniar,85,CB,69,41,59,66,87,81,https://futhead.cursecdn.com/static/img/21/players/232363.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/43.png
66,Parejo,85,CM,50,83,90,81,71,69,https://futhead.cursecdn.com/static/img/21/players/189513.png,https://futhead.cursecdn.com/static/img/21/clubs/483.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
67,Leroy Sané,85,LM,93,81,79,85,38,67,https://futhead.cursecdn.com/static/img/21/players/222492.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
68,Marcus Rashford,85,LM,91,83,78,85,45,78,https://futhead.cursecdn.com/static/img/21/players/231677.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/14.png
69,Miralem Pjanić,85,CM,67,68,87,85,75,67,https://futhead.cursecdn.com/static/img/21/players/180206.png,https://futhead.cursecdn.com/static/img/21/clubs/241.png,https://futhead.cursecdn.com/static/img/21/nations/8.png
70,Lorenzo Insigne,85,LW,88,78,83,91,36,44,https://futhead.cursecdn.com/static/img/21/players/198219.png,https://futhead.cursecdn.com/static/img/21/clubs/48.png,https://futhead.cursecdn.com/static/img/21/nations/27.png
71,Ricardo Pereira,85,RB,83,66,79,82,81,76,https://futhead.cursecdn.com/static/img/21/players/210243.png,https://futhead.cursecdn.com/static/img/21/clubs/95.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
72,Thiago Silva,85,CB,59,54,72,72,86,78,https://futhead.cursecdn.com/static/img/21/players/164240.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
73,Matthijs de Ligt,85,CB,72,59,66,69,85,84,https://futhead.cursecdn.com/static/img/21/players/235243.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
74,Georginio Wijnaldum,85,CM,76,75,81,86,78,79,https://futhead.cursecdn.com/static/img/21/players/181291.png,https://futhead.cursecdn.com/static/img/21/clubs/9.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
75,Sergej Milinković-Savić,85,CM,69,79,80,83,79,85,https://futhead.cursecdn.com/static/img/21/players/223848.png,https://futhead.cursecdn.com/static/img/21/clubs/46.png,https://futhead.cursecdn.com/static/img/21/nations/51.png
76,Timo Werner,85,ST,91,85,69,84,35,71,https://futhead.cursecdn.com/static/img/21/players/212188.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
77,Marco Reus,85,CAM,80,86,84,85,45,63,https://futhead.cursecdn.com/static/img/21/players/188350.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
78,Hakim Ziyech,85,CAM,80,76,87,83,50,66,https://futhead.cursecdn.com/static/img/21/players/208670.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/129.png
79,Memphis Depay,85,CF,86,83,81,83,32,80,https://futhead.cursecdn.com/static/img/21/players/202556.png,https://futhead.cursecdn.com/static/img/21/clubs/66.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
80,Riyad Mahrez,85,RW,83,79,81,90,38,59,https://futhead.cursecdn.com/static/img/21/players/204485.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/97.png
81,Luis Alberto,85,CAM,74,76,86,85,58,59,https://futhead.cursecdn.com/static/img/21/players/198706.png,https://futhead.cursecdn.com/static/img/21/clubs/46.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
82,Kai Havertz,85,CAM,84,81,79,85,45,67,https://futhead.cursecdn.com/static/img/21/players/235790.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
83,Thiago,85,CM,64,72,85,90,70,62,https://futhead.cursecdn.com/static/img/21/players/189509.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
84,Romelu Lukaku,85,ST,81,83,76,75,38,84,https://futhead.cursecdn.com/static/img/21/players/192505.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
85,Marquinhos,85,CB,72,41,73,71,87,78,https://futhead.cursecdn.com/static/img/21/players/207865.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
86,Serge Gnabry,85,RM,82,83,78,85,43,70,https://futhead.cursecdn.com/static/img/21/players/206113.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
87,Edinson Cavani,84,ST,73,85,70,76,55,82,https://futhead.cursecdn.com/static/img/21/players/179813.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/60.png
88,José Callejón,84,RM,88,78,75,83,47,63,https://futhead.cursecdn.com/static/img/21/players/185020.png,https://futhead.cursecdn.com/static/img/21/clubs/110374.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
89,Alex Telles,84,LB,85,74,83,80,79,76,https://futhead.cursecdn.com/static/img/21/players/212462.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
90,Douglas Costa,84,LM,93,73,79,90,43,59,https://futhead.cursecdn.com/static/img/21/players/190483.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
91,Thomas Partey,84,CM,71,74,81,81,82,85,https://futhead.cursecdn.com/static/img/21/players/209989.png,https://futhead.cursecdn.com/static/img/21/clubs/1.png,https://futhead.cursecdn.com/static/img/21/nations/117.png
92,Wilfred Ndidi,84,CDM,71,62,68,74,87,84,https://futhead.cursecdn.com/static/img/21/players/226790.png,https://futhead.cursecdn.com/static/img/21/clubs/95.png,https://futhead.cursecdn.com/static/img/21/nations/133.png
93,Saúl Ñíguez Esclápez,84,CM,68,79,79,81,78,79,https://futhead.cursecdn.com/static/img/21/players/208421.png,https://futhead.cursecdn.com/static/img/21/clubs/240.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
94,José María Giménez,84,CB,67,45,53,56,86,83,https://futhead.cursecdn.com/static/img/21/players/216460.png,https://futhead.cursecdn.com/static/img/21/clubs/240.png,https://futhead.cursecdn.com/static/img/21/nations/60.png
95,Arthur Henrique Ramos...,84,CM,66,73,82,87,75,71,https://futhead.cursecdn.com/static/img/21/players/230658.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
96,Jesús Corona,84,RM,84,68,78,88,77,60,https://futhead.cursecdn.com/static/img/21/players/193165.png,https://futhead.cursecdn.com/static/img/21/clubs/236.png,https://futhead.cursecdn.com/static/img/21/nations/83.png
97,Lucas Pezzini Leiva,84,CDM,60,66,76,78,83,71,https://futhead.cursecdn.com/static/img/21/players/176266.png,https://futhead.cursecdn.com/static/img/21/clubs/46.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
98,Leon Goretzka,84,CM,78,78,80,82,77,82,https://futhead.cursecdn.com/static/img/21/players/209658.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
99,Anthony Martial,84,ST,89,83,74,87,41,72,https://futhead.cursecdn.com/static/img/21/players/211300.png,https://futhead.cursecdn.com/static/img/21/clubs/11.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
100,Isco,84,CAM,68,75,82,89,59,59,https://futhead.cursecdn.com/static/img/21/players/197781.png,https://futhead.cursecdn.com/static/img/21/clubs/243.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
101,Niklas Süle,84,CB,69,42,59,51,85,81,https://futhead.cursecdn.com/static/img/21/players/212190.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
102,Raúl Jiménez,84,ST,78,82,76,82,49,83,https://futhead.cursecdn.com/static/img/21/players/204838.png,https://futhead.cursecdn.com/static/img/21/clubs/110.png,https://futhead.cursecdn.com/static/img/21/nations/83.png
103,Douglas Costa,84,LM,93,73,79,90,43,59,https://futhead.cursecdn.com/static/img/21/players/190483.png,https://futhead.cursecdn.com/static/img/21/clubs/114153.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
104,Axel Witsel,84,CDM,63,73,81,80,82,82,https://futhead.cursecdn.com/static/img/21/players/177413.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/7.png
105,Julian Brandt,84,CAM,81,78,82,86,51,66,https://futhead.cursecdn.com/static/img/21/players/212194.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/21.png
106,Marcelo Brozović,84,CDM,63,74,80,81,79,78,https://futhead.cursecdn.com/static/img/21/players/216352.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/10.png
107,Lautaro Martínez,84,ST,83,82,71,85,48,82,https://futhead.cursecdn.com/static/img/21/players/231478.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
108,Grimaldo,84,LB,85,65,79,84,77,71,https://futhead.cursecdn.com/static/img/21/players/210035.png,https://futhead.cursecdn.com/static/img/21/clubs/234.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
109,Azpilicueta,84,RB,67,55,77,72,84,76,https://futhead.cursecdn.com/static/img/21/players/184432.png,https://futhead.cursecdn.com/static/img/21/clubs/5.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
110,Nicolás Tagliafico,84,LB,82,56,73,76,82,79,https://futhead.cursecdn.com/static/img/21/players/211256.png,https://futhead.cursecdn.com/static/img/21/clubs/245.png,https://futhead.cursecdn.com/static/img/21/nations/52.png
111,Alex Telles,84,LB,85,74,83,80,79,76,https://futhead.cursecdn.com/static/img/21/players/212462.png,https://futhead.cursecdn.com/static/img/21/clubs/236.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
112,Lucas Digne,84,LB,78,69,80,79,80,76,https://futhead.cursecdn.com/static/img/21/players/200458.png,https://futhead.cursecdn.com/static/img/21/clubs/7.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
113,Josip Iličić,84,CF,70,86,84,85,43,68,https://futhead.cursecdn.com/static/img/21/players/200647.png,https://futhead.cursecdn.com/static/img/21/clubs/39.png,https://futhead.cursecdn.com/static/img/21/nations/44.png
114,Iago Aspas,84,ST,82,85,77,86,35,63,https://futhead.cursecdn.com/static/img/21/players/192629.png,https://futhead.cursecdn.com/static/img/21/clubs/450.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
115,Thomas Partey,84,CM,71,74,81,81,82,85,https://futhead.cursecdn.com/static/img/21/players/209989.png,https://futhead.cursecdn.com/static/img/21/clubs/240.png,https://futhead.cursecdn.com/static/img/21/nations/117.png
116,Jesús Navas,84,RB,87,69,79,83,80,58,https://futhead.cursecdn.com/static/img/21/players/146536.png,https://futhead.cursecdn.com/static/img/21/clubs/481.png,https://futhead.cursecdn.com/static/img/21/nations/45.png
117,Fernandinho,84,CB,64,72,78,78,85,79,https://futhead.cursecdn.com/static/img/21/players/135507.png,https://futhead.cursecdn.com/static/img/21/clubs/10.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
118,Felipe,84,CB,62,41,58,62,86,86,https://futhead.cursecdn.com/static/img/21/players/207863.png,https://futhead.cursecdn.com/static/img/21/clubs/240.png,https://futhead.cursecdn.com/static/img/21/nations/54.png
119,David Alaba,84,CB,77,70,81,80,83,76,https://futhead.cursecdn.com/static/img/21/players/197445.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/4.png
120,Stefan de Vrij,84,CB,68,41,62,69,86,75,https://futhead.cursecdn.com/static/img/21/players/198176.png,https://futhead.cursecdn.com/static/img/21/clubs/44.png,https://futhead.cursecdn.com/static/img/21/nations/34.png
121,Kingsley Coman,84,LM,93,76,77,87,29,59,https://futhead.cursecdn.com/static/img/21/players/213345.png,https://futhead.cursecdn.com/static/img/21/clubs/21.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
122,Raphaël Guerreiro,84,LM,74,78,84,87,73,57,https://futhead.cursecdn.com/static/img/21/players/209889.png,https://futhead.cursecdn.com/static/img/21/clubs/22.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
123,Pizzi,84,RM,75,78,83,83,65,68,https://futhead.cursecdn.com/static/img/21/players/197965.png,https://futhead.cursecdn.com/static/img/21/clubs/234.png,https://futhead.cursecdn.com/static/img/21/nations/38.png
124,Idrissa Gueye,84,CDM,69,61,71,78,85,79,https://futhead.cursecdn.com/static/img/21/players/193474.png,https://futhead.cursecdn.com/static/img/21/clubs/73.png,https://futhead.cursecdn.com/static/img/21/nations/136.png
125,Wissam Ben Yedder,84,ST,84,83,77,87,39,63,https://futhead.cursecdn.com/static/img/21/players/199451.png,https://futhead.cursecdn.com/static/img/21/clubs/69.png,https://futhead.cursecdn.com/static/img/21/nations/18.png
